Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4
83.972,0.5757780686899983,46.287,0.4067332737261065,8659.702,6.198823614057606,57.203,0.46924978354748265
Sample,ch1,ch2,ch3,ch4
742,71,49,8868,57
743,87,54,8653,57
744,87,46,8692,53
745,75,44,8601,61
746,88,40,8670,55
747,82,41,8627,63
748,84,43,8478,70
749,88,51,8612,68
750,85,39,8627,46
751,81,39,8849,46
752,86,47,8644,49
753,87,40,8739,59
754,94,41,8578,55
755,79,49,8538,54
756,89,49,8708,54
757,96,48,8642,57
758,79,43,8789,63
759,103,53,8624,51
760,91,52,8557,62
761,77,46,8741,70
762,81,46,8732,71
763,78,54,8662,62
764,80,54,8624,59
765,69,38,8638,47
766,93,55,8685,57
767,93,42,8688,60
768,79,47,8688,49
769,86,42,8664,70
770,67,42,8501,66
771,88,42,8572,68
772,78,54,8781,56
773,88,46,8731,50
774,69,40,8669,60
775,85,39,8584,45
776,88,37,8621,62
777,66,48,8788,56
778,70,46,8513,61
779,79,58,8488,52
780,91,63,8689,60
781,88,41,8558,54
782,84,36,8714,45
783,86,49,8580,52
784,93,49,8746,57
785,92,45,8578,61
786,68,47,8565,51
787,78,56,8798,51
788,91,52,8685,65
789,82,48,8637,63
790,97,44,8397,55
791,96,47,8695,56
792,94,48,8487,50
793,74,54,8484,50
794,94,51,8664,61
795,93,46,8553,63
796,99,41,8483,60
797,88,41,8557,69
798,90,48,8557,73
799,80,50,8644,47
800,101,53,8544,57
801,63,51,8680,65
802,79,56,8744,52
803,70,38,8717,59
804,90,42,8575,56
805,85,45,8434,60
806,80,50,8665,43
807,99,39,8593,67
808,80,40,8538,60
809,110,46,8511,54
810,89,47,8635,51
811,87,38,8606,56
812,88,51,8437,67
813,95,43,8659,49
814,87,41,8696,57
815,84,37,8690,57
816,75,40,8583,55
817,88,45,8736,53
818,91,42,8592,54
819,80,54,8532,54
820,75,40,8476,57
821,76,45,8532,67
822,83,49,8496,67
823,84,45,8568,58
824,75,42,8407,57
825,90,49,8653,50
826,83,46,8701,60
827,93,50,8709,67
828,92,38,8648,48
829,84,51,8494,50
830,75,53,8640,49
831,81,41,8396,66
832,80,44,8494,51
833,89,43,8645,58
834,92,45,8401,51
835,76,63,8678,59
836,78,46,8709,50
837,80,56,8672,52
838,74,43,8779,64
839,79,32,8601,62
840,83,43,8659,42
841,72,41,8425,67
842,81,41,8706,58
843,81,43,8384,53
844,102,35,8601,58
845,81,35,8440,59
846,102,40,8611,48
847,89,49,8574,58
848,96,44,8487,48
849,89,43,8582,62
850,83,44,8394,54
851,87,37,8705,61
852,81,45,8734,64
853,86,38,8582,52
854,82,50,8583,53
855,74,37,8591,53
856,87,41,8658,65
857,103,44,8560,61
858,101,34,8734,51
859,100,48,8648,65
860,91,44,8799,59
861,91,52,8711,56
862,88,45,8536,58
863,93,46,8524,50
864,88,42,8570,44
865,83,52,8672,59
866,78,43,8784,63
867,79,34,8560,58
868,68,48,8649,65
869,75,45,8649,62
870,106,50,8636,55
871,90,54,8599,50
872,101,37,8723,68
873,75,49,8648,55
874,76,44,8529,69
875,98,42,8437,53
876,75,48,8707,44
877,91,41,8546,70
878,74,47,8460,54
879,90,55,8580,48
880,85,45,8771,45
881,74,51,8729,53
882,87,43,8591,49
883,89,49,8712,45
884,81,45,8589,49
885,90,46,8706,56
886,77,51,8735,63
887,89,44,8714,58
888,62,45,8647,60
889,68,35,8687,59
890,79,39,8607,69
891,82,40,8539,53
892,84,44,8782,54
893,87,41,8604,58
894,107,39,8511,61
895,72,44,8565,55
896,86,40,8512,58
897,95,45,8648,69
898,86,47,8424,62
899,84,35,8484,55
900,74,50,8616,52
901,71,49,8597,52
902,90,38,8629,60
903,95,42,8672,58
904,89,45,8604,68
905,86,52,8691,60
906,86,46,8600,59
907,77,46,8764,51
908,86,43,8617,55
909,77,45,8789,58
910,81,35,8560,58
911,92,44,8728,58
912,76,33,8636,54
913,93,43,8615,53
914,87,33,8501,68
915,73,39,8615,52
916,84,45,8708,46
917,84,58,8741,57
918,81,39,8792,49
919,73,55,8624,51
920,82,47,8692,52
921,78,47,8594,54
922,84,59,8620,43
923,83,49,8913,54
924,76,50,8794,49
925,103,50,8905,59
926,98,44,8624,40
927,86,48,8718,54
928,66,52,8461,48
929,80,39,8777,58
930,86,38,8475,46
931,87,55,8692,72
932,70,50,8631,48
933,96,40,8833,53
934,92,44,8741,52
935,86,42,8670,48
936,76,46,8850,64
937,64,52,8643,60
938,84,54,8569,45
939,89,39,8628,66
940,91,51,8637,52
941,114,49,8630,56
942,85,43,8591,67
943,80,47,8636,53
944,103,41,8672,52
945,87,48,8765,61
946,71,37,8665,65
947,83,55,8685,60
948,76,36,8657,64
949,92,48,8602,55
950,73,46,8517,54
951,75,38,8445,48
952,80,47,8583,56
953,92,43,8489,49
954,88,47,8756,65
955,83,50,8730,41
956,90,50,8645,61
957,75,42,8728,60
958,80,55,8669,60
959,86,45,8557,67
960,83,50,8606,65
961,91,45,8757,70
962,76,36,8688,41
963,94,35,8694,63
964,75,43,8581,70
965,85,36,8632,63
966,75,42,8637,60
967,79,44,8763,55
968,72,54,8722,58
969,81,45,8764,59
970,84,53,8549,64
971,89,42,8742,51
972,90,38,8729,66
973,75,31,8707,69
974,93,31,8648,56
975,86,44,8785,61
976,80,40,8497,43
977,85,55,8655,69
978,74,61,8648,73
979,99,49,8740,54
980,71,53,8644,53
981,81,45,8572,59
982,77,63,8683,52
983,68,42,8632,66
984,100,59,8621,59
985,93,30,8626,60
986,65,42,8585,56
987,85,49,8625,68
988,80,48,8719,62
989,79,41,8591,49
990,85,42,8594,50
991,86,33,8755,63
992,93,55,8699,50
993,87,43,8735,56
994,86,43,8843,59
995,72,63,8680,60
996,74,50,8798,62
997,84,43,8661,51
998,83,35,8770,58
999,92,55,8643,64
1000,79,49,8577,54
