Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7726.184,5.62571820137494,8440.291,5.867255061607425,84.884,0.5437148166105111,56.552,0.48020389396565677,591.808,1.524538212299305
Sample,ch1,ch2,ch3,ch4,coinc12
425,7848,8429,106,52,625
426,7536,8255,93,49,563
427,7819,8341,83,60,596
428,7699,8596,66,57,643
429,7760,8374,94,49,593
430,7743,8454,74,72,565
431,7768,8395,86,55,561
432,7744,8436,83,52,582
433,7786,8382,93,52,588
434,7650,8436,88,67,578
435,7779,8549,100,58,612
436,7777,8424,91,52,581
437,7621,8383,81,55,572
438,7795,8448,93,54,593
439,7808,8408,73,57,642
440,7712,8395,75,67,578
441,7641,8484,84,52,592
442,7686,8519,95,51,577
443,7716,8348,91,52,595
444,7670,8464,100,71,573
445,7721,8382,87,59,586
446,7606,8493,76,43,571
447,7643,8620,90,41,585
448,7988,8460,81,66,606
449,7610,8710,91,57,592
450,7720,8407,73,50,636
451,7883,8716,94,49,549
452,7792,8317,80,52,597
453,7588,8416,85,40,590
454,7612,8469,94,39,641
455,7721,8420,94,63,629
456,7872,8443,89,48,597
457,7571,8434,82,53,576
458,7744,8415,72,53,608
459,7932,8468,85,57,570
460,7542,8232,85,56,549
461,7622,8312,80,63,603
462,7537,8468,89,51,605
463,7831,8280,84,56,590
464,7775,8343,92,53,622
465,7610,8369,76,67,618
466,7600,8648,90,48,563
467,7664,8460,85,53,629
468,7737,8438,102,56,581
469,7575,8510,86,46,587
470,7752,8383,97,46,602
471,7757,8486,78,64,580
472,7687,8542,90,58,584
473,7746,8377,88,62,552
474,7750,8556,94,67,591
475,7878,8517,85,39,605
476,7693,8535,69,42,586
477,7600,8339,78,51,587
478,7806,8553,97,57,599
479,7714,8493,93,56,570
480,7603,8570,92,49,575
481,7869,8448,80,58,628
482,7799,8634,75,50,598
483,7707,8477,77,58,580
484,7730,8363,97,52,572
485,7702,8487,77,57,650
486,7704,8443,90,62,574
487,7852,8323,93,54,584
488,7723,8494,80,61,622
489,7885,8445,88,64,583
490,7871,8505,72,55,603
491,7794,8418,95,56,642
