Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
4016.441,4.078620995535773,4050.754,4.157453349630558,85.373,0.590345654673592,56.605,0.4513974519862287,276.164,1.038635248380864
Sample,ch1,ch2,ch3,ch4,coinc12
318,4051,4063,85,61,270
319,4069,4020,83,48,291
320,4002,4173,88,51,265
321,4102,3988,84,53,302
322,4155,4068,93,47,286
323,4073,4020,70,55,267
324,4063,4067,82,59,262
325,4003,4071,93,66,287
326,4008,4047,84,63,299
327,4210,4123,91,61,264
328,4041,4108,104,56,279
329,4121,4073,88,74,278
330,4055,4019,78,60,279
331,3972,4040,94,64,285
332,3949,4011,73,63,260
333,4060,4175,77,58,280
334,3922,4009,74,54,283
335,4149,4062,73,52,254
336,4018,4020,87,70,293
337,4054,4168,89,46,277
338,4136,4016,84,55,272
339,4039,4085,70,52,281
340,4140,3989,81,56,285
341,4030,3989,95,60,297
342,3974,4085,86,60,280
343,4065,4076,86,64,271
344,4051,4133,72,48,298
345,3866,4132,92,60,286
346,4054,3952,89,52,250
347,4049,4108,68,58,242
348,3913,4137,104,57,275
349,3948,3996,107,56,296
350,4090,4087,89,46,284
351,4016,4092,78,58,263
352,4128,4140,79,60,270
353,4088,4027,82,61,255
354,4046,4081,78,54,278
355,4096,4088,89,62,283
356,4083,3999,79,65,290
357,4014,3974,82,67,244
358,4071,4072,85,71,281
359,4071,4031,102,65,251
360,4076,3992,93,58,261
361,3947,4093,85,67,283
362,4103,4003,80,59,275
363,3990,4037,103,71,249
364,4015,3912,86,52,299
365,4075,4149,73,66,307
366,4079,4171,91,56,266
367,4001,4087,69,69,292
368,3997,4022,87,43,285
369,4007,4209,77,66,272
370,4130,4137,87,53,304
371,4020,4021,74,62,278
372,3968,4052,71,58,279
373,4006,3977,90,50,246
374,4122,4020,89,50,295
375,4001,4140,77,46,264
376,4068,4094,74,48,264
377,4071,4100,89,47,291
378,4009,3989,84,59,286
379,4011,4092,88,48,269
380,4038,4035,88,60,296
381,4052,4031,80,66,300
382,4053,4118,112,51,305
383,3959,3919,86,54,274
384,3864,4157,70,63,284
385,3934,4068,71,65,280
386,4013,4056,78,50,245
387,3948,4038,90,50,268
388,3993,3961,89,60,288
389,4079,4037,93,58,277
390,4062,3995,84,61,267
391,4046,4084,85,74,260
392,4003,3974,82,59,263
393,4002,4003,71,62,287
394,4095,4074,87,54,294
395,4080,4039,101,57,232
396,3973,4020,91,55,283
397,4114,3989,80,47,257
398,4079,4032,82,52,294
399,3981,4013,82,68,285
400,3973,3985,73,56,315
401,4069,4063,86,58,254
402,4095,4030,95,57,275
403,3984,4054,86,69,265
404,4023,3963,112,60,238
405,3996,4044,95,58,314
406,4046,4053,79,58,302
407,4099,4107,86,63,305
408,4131,4109,73,56,275
409,4078,4008,81,48,285
410,3961,4026,93,53,282
411,4060,3921,77,50,257
412,4081,4218,71,60,270
413,3999,4087,88,62,284
414,3965,4144,90,60,265
