Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
3991.624,3.9777099784515046,3933.72,3.9285590202994247,84.774,0.5706779909628277,57.119,0.4681436900295832,289.731,1.093067863105193
Sample,ch1,ch2,ch3,ch4,coinc12
373,3987,3950,71,61,279
374,3937,3991,81,63,277
375,3977,3976,75,62,279
376,3867,3870,86,57,291
377,4053,3906,96,66,292
378,3930,3939,84,48,309
379,4025,3898,91,43,304
380,4001,4000,84,56,299
381,3918,3957,86,50,326
382,3937,3937,97,55,272
383,4009,3912,89,44,283
384,3934,3954,79,63,302
385,4015,3765,88,54,271
386,4022,4019,78,66,317
387,4052,3902,110,47,306
388,3950,3988,91,64,272
389,4131,3885,94,46,291
390,3959,3925,84,61,311
391,3861,3908,102,58,284
392,4004,3917,85,56,279
393,3939,3837,85,53,292
394,3931,3921,95,58,327
395,4022,3834,94,43,274
396,4040,3870,86,56,291
397,3984,4058,77,54,312
398,3940,3976,73,63,304
399,3987,3985,82,69,302
400,3957,3896,85,52,289
401,3976,3901,85,67,313
402,4072,3858,92,62,275
403,3969,4051,80,48,266
404,3928,3859,79,53,275
405,3952,3852,89,55,278
406,3972,3857,86,62,315
407,4113,3996,103,49,280
408,3978,3931,96,71,265
409,4062,3901,92,47,295
410,3917,3958,87,64,294
411,4030,3989,108,61,300
412,4030,3935,73,62,277
413,3889,3921,81,44,309
414,3990,3907,83,59,304
415,4053,3934,77,52,303
416,3972,3977,96,58,297
417,4040,3849,105,62,281
418,4064,3928,85,68,286
419,4073,3963,75,55,284
420,3996,3900,79,64,301
421,3830,3952,80,45,270
422,3908,3937,87,62,267
423,3958,3893,80,69,316
424,3966,3980,85,53,305
425,3944,3914,87,58,299
426,3858,3734,80,68,232
427,3842,3889,80,61,259
428,3936,3943,74,66,287
429,3935,3895,98,57,261
430,4029,3822,85,60,298
431,3990,3936,77,53,320
432,4038,3934,78,54,295
433,3972,3915,74,52,283
434,4055,3925,91,54,319
435,4013,3915,94,59,270
436,4014,3915,95,42,290
437,4062,3917,87,44,277
438,4034,3944,95,58,293
439,3983,3928,76,49,304
440,3983,3998,83,57,332
441,4153,3983,89,48,311
442,3928,3942,83,64,283
443,4014,3988,98,55,274
444,3953,4052,88,59,281
445,3954,3881,87,47,297
446,4054,3910,94,50,271
447,4203,3996,90,56,327
448,4034,3904,96,62,319
449,3904,3942,92,50,279
450,3921,3842,93,54,312
451,3959,3831,84,52,282
452,4029,3967,90,53,307
453,4045,3924,84,50,280
454,4007,3989,80,52,314
455,4093,3937,94,58,286
456,3965,3924,83,52,283
457,4016,3904,95,58,309
458,4090,3989,72,54,267
459,4175,3937,69,62,284
460,3978,3949,84,71,322
461,4066,3884,82,58,297
462,3939,4126,85,58,287
463,3944,3947,76,53,300
464,4067,4029,79,49,303
465,3926,3960,88,65,292
466,3959,3888,78,52,301
467,4017,3978,78,52,308
468,3940,3914,79,58,297
469,4023,4005,85,65,290
470,3971,3938,92,58,274
471,4076,3921,91,65,298
472,3961,3846,78,53,284
473,3945,3880,91,59,283
474,3991,3900,82,66,288
475,4054,3901,87,66,264
476,4013,3971,87,61,250
477,4058,3922,88,67,275
