Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
3999.804,4.059582065008976,4086.029,4.072731242762745,85.2,0.5531527618822651,57.121,0.4541890836686013,12.993,0.23813549192111727
Sample,ch1,ch2,ch3,ch4,coinc12
439,3961,4064,68,55,6
440,3969,4044,65,58,10
441,3943,4074,71,64,12
442,3985,4049,85,49,9
443,3893,4140,89,56,22
444,3977,4116,79,56,10
445,3813,4071,77,47,9
446,4068,4082,84,53,13
447,3963,4094,86,56,14
448,4075,4208,78,57,19
449,4040,4069,100,64,18
450,3997,4116,76,61,19
451,4022,4060,89,40,19
452,3920,4013,76,41,12
453,3973,4095,94,57,18
454,4026,4015,97,38,19
455,3949,4051,72,55,8
456,3943,4101,81,56,15
457,4170,4091,75,52,11
458,3902,4025,69,52,10
459,4028,4206,94,52,12
460,4021,4090,61,62,15
461,3940,4032,85,62,10
462,3995,4074,86,54,16
463,4117,4041,88,49,13
464,4017,4097,93,68,11
465,4017,4098,75,54,11
466,4036,4033,86,53,18
467,4046,4055,77,67,18
468,4009,3993,86,47,6
469,4013,4036,87,58,13
470,4056,3924,92,55,19
471,4142,4161,96,51,16
472,3944,4092,91,57,10
473,4011,4107,86,54,16
474,4163,4061,72,48,16
475,4014,4132,84,55,14
476,4057,4061,80,54,15
477,4043,4082,75,57,10
478,3969,4156,73,57,11
479,3981,4072,72,62,11
480,3959,4008,96,63,10
481,3999,4050,84,61,14
482,4065,4048,84,52,11
483,4086,4015,84,67,16
484,4033,4040,75,62,15
485,4045,4001,73,57,18
486,3903,3990,91,38,13
487,4035,4092,83,60,8
488,3871,4095,80,70,14
489,4012,4008,110,59,27
490,4094,4190,89,48,14
491,3946,4102,82,62,19
492,4004,4131,93,61,11
493,4089,4100,84,54,10
494,3950,4053,93,50,10
495,4032,4130,85,64,11
496,3913,4144,95,62,7
497,3990,4055,72,55,9
498,4018,4082,91,59,11
499,4012,4069,80,44,11
500,3993,4080,81,65,8
501,3974,4079,92,54,17
502,4036,4138,93,57,13
503,4060,4254,102,59,8
504,4035,4025,85,58,14
505,4005,4161,81,48,16
506,3983,4119,82,49,14
507,3853,4049,73,61,17
508,3940,4100,77,66,14
509,3994,4109,88,63,12
510,3932,4001,82,50,8
511,4056,4118,93,50,18
512,3922,4109,80,52,12
513,4067,4059,72,48,10
514,4015,4020,85,50,21
515,4039,4038,93,54,11
516,3981,4127,77,58,14
517,4005,4159,84,48,9
518,3939,4086,79,69,17
519,3958,4102,95,65,12
520,3997,4001,98,45,11
521,4051,4040,91,66,19
522,3988,4035,69,51,12
523,3924,4109,75,74,14
524,4074,4093,91,39,12
525,3865,4053,74,58,11
526,4082,4129,84,53,12
527,3942,4015,105,63,11
528,4066,3984,90,61,12
529,3913,4159,100,67,13
530,4087,4083,73,59,11
531,4049,3993,100,57,20
532,4095,4148,84,66,11
533,4173,4127,82,62,12
534,4078,4013,90,61,13
535,4024,4129,94,59,16
536,3991,4106,96,44,11
537,3997,4130,65,57,15
538,4064,3913,77,49,12
539,3933,4120,87,59,11
540,4075,4077,76,61,21
541,3951,4064,70,53,8
542,3988,4007,81,63,14
543,3909,4010,69,59,9
544,3933,4118,65,59,10
545,4126,4029,108,78,12
546,4048,4085,82,58,20
547,3972,4026,92,71,14
548,4053,4172,87,63,12
549,4071,4049,87,63,20
550,3944,4080,82,55,7
551,4076,4056,111,63,8
552,4078,4089,73,59,9
553,3923,4080,99,53,9
554,3925,4080,89,73,7
555,3975,4022,68,67,10
556,3997,4014,89,54,7
557,3974,4050,91,58,12
558,3992,3993,81,66,8
559,3952,4054,99,56,16
560,3959,4068,94,65,16
561,3972,3991,72,56,6
562,4076,4026,96,66,7
563,4131,4142,87,57,10
564,3933,3975,91,63,8
