Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4
83.157,0.5631612154210858,45.929,0.4145210050934255,83.928,0.5917443919678711,56.223,0.45695283114331386
Sample,ch1,ch2,ch3,ch4
509,87,51,81,51
510,76,36,84,64
511,77,50,82,49
512,92,59,81,54
513,74,41,85,58
514,89,38,83,59
515,74,50,87,66
516,89,47,86,72
517,84,54,94,53
518,75,47,79,59
519,94,44,88,57
520,72,48,88,66
521,78,40,106,50
522,71,40,91,64
523,86,47,93,38
524,70,39,92,56
525,84,47,67,61
526,79,48,94,52
527,90,51,69,57
528,98,52,107,56
529,83,39,76,51
530,84,31,79,52
531,71,57,87,54
532,78,65,78,47
533,73,47,67,69
534,78,34,89,48
535,90,43,65,48
536,87,42,104,47
537,74,58,93,56
538,81,42,80,52
539,85,46,90,56
540,88,43,78,41
541,73,50,85,41
542,97,50,74,48
543,86,40,69,41
544,79,39,81,54
545,78,49,93,59
546,91,47,99,79
547,85,53,78,54
548,96,44,88,52
549,87,40,72,60
550,86,47,72,63
551,83,44,91,45
552,76,43,80,42
553,83,50,74,51
554,85,39,75,47
555,79,41,94,63
556,85,33,100,50
557,74,45,85,54
558,90,53,76,56
559,91,34,95,56
560,89,37,82,68
561,82,40,84,57
562,87,45,104,54
563,86,53,75,44
564,92,38,78,55
565,81,42,94,44
566,89,43,74,46
567,71,52,71,51
568,95,41,77,56
569,68,36,64,50
570,78,35,75,52
571,70,38,90,62
572,86,45,97,66
573,77,41,87,48
574,68,47,86,53
575,83,38,85,63
576,69,29,85,62
577,77,39,64,62
578,89,37,88,70
579,85,42,82,62
580,92,36,80,53
581,83,34,84,52
582,105,43,81,57
583,91,42,80,50
584,79,43,77,59
585,74,53,94,60
586,73,39,91,69
587,105,43,103,54
588,84,34,81,55
589,103,46,87,49
590,81,33,82,55
591,89,50,93,61
592,69,38,81,58
593,97,35,95,56
594,74,44,105,44
595,97,44,93,56
596,82,46,92,46
597,81,51,102,49
598,78,45,79,72
599,78,37,83,58
600,89,41,85,48
601,86,41,89,53
602,92,49,80,46
603,75,46,79,68
604,89,37,92,53
605,74,44,91,60
606,82,42,90,58
607,84,48,81,60
608,72,47,74,62
609,102,55,87,54
610,90,46,84,48
611,80,48,77,63
612,74,47,75,40
613,79,35,105,60
614,84,41,79,51
615,76,64,89,63
616,77,47,77,49
617,76,49,78,48
618,99,47,64,47
619,67,47,83,50
620,75,62,74,76
621,78,47,84,49
622,87,37,94,59
623,72,39,84,69
624,91,46,94,61
625,77,40,81,46
626,91,55,82,62
627,95,43,84,56
628,81,42,90,71
629,78,45,89,66
630,94,49,86,57
631,99,34,66,56
632,77,41,80,51
633,87,38,75,63
634,94,28,90,60
635,96,45,99,42
636,78,47,74,45
637,94,54,84,54
638,69,52,89,56
639,84,43,90,52
640,85,46,96,52
641,100,39,81,53
642,80,45,94,55
643,91,44,81,51
644,73,48,81,45
645,75,40,71,58
646,74,45,69,59
647,94,46,77,49
648,94,39,92,47
649,81,60,80,60
