Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7563.461,5.697360602404751,8727.234,6.138554131293689,85.586,0.554275777603205,57.216,0.4752844109281002,633.753,1.6579181694693668
Sample,ch1,ch2,ch3,ch4,coinc12
318,7397,8721,85,60,625
319,7627,8577,83,57,623
320,7702,8681,80,47,644
321,7698,8646,79,47,649
322,7538,8518,84,47,600
323,7447,8813,90,54,632
324,7429,8822,89,55,597
325,7687,8678,78,50,621
326,7612,8598,83,67,614
327,7500,8726,73,68,625
328,7510,8673,100,50,604
329,7476,8743,68,49,618
330,7620,8505,87,56,586
331,7477,8741,77,51,630
332,7685,8735,88,60,661
333,7588,8778,78,63,660
334,7582,8606,99,57,622
335,7576,8846,67,52,702
336,7423,8846,73,55,693
337,7590,8646,87,61,625
338,7629,8826,95,54,685
339,7474,8860,80,62,640
340,7575,8748,87,53,622
341,7528,8724,86,40,630
342,7576,8719,93,73,584
343,7655,8762,84,65,650
344,7584,8653,98,62,663
345,7635,8675,72,53,669
346,7516,8764,88,59,670
347,7471,8624,94,59,629
348,7811,8761,91,48,638
349,7662,8768,76,56,605
350,7496,8646,76,73,591
351,7536,8739,93,69,628
352,7661,8728,93,54,667
353,7514,8709,89,67,634
354,7733,8737,64,68,648
355,7762,8739,92,62,637
356,7574,8598,94,61,610
357,7667,8674,74,63,647
358,7487,8831,78,56,643
359,7653,8802,98,46,645
360,7576,8657,79,50,664
361,7623,8685,91,65,638
362,7716,8773,100,47,639
363,7635,8802,81,69,695
364,7781,8697,81,68,654
365,7630,8714,82,52,660
366,7600,8584,97,51,607
367,7446,8704,94,65,635
368,7540,8737,88,51,617
369,7397,8741,81,64,628
370,7476,8821,75,65,638
371,7523,8670,90,60,621
372,7545,8832,97,60,642
373,7765,8645,70,62,658
374,7619,8840,89,58,624
375,7540,8822,101,55,615
376,7483,8861,78,63,638
377,7582,8814,91,54,647
378,7503,8630,116,64,672
379,7686,8749,90,54,688
380,7556,8728,68,58,635
381,7518,8543,85,59,622
382,7493,8733,78,60,599
383,7771,8784,74,48,676
384,7549,8744,87,51,650
385,7581,8838,76,49,661
386,7538,8893,101,57,643
387,7554,8670,83,70,604
388,7555,8839,96,58,645
389,7721,8853,99,73,630
390,7560,8646,87,69,630
391,7485,8733,82,61,611
392,7488,8785,90,48,652
393,7585,8834,89,68,662
394,7554,8732,92,64,628
395,7607,8706,92,70,608
396,7492,8860,69,55,595
397,7495,8787,90,53,654
398,7427,8648,90,52,659
399,7553,8892,86,64,642
400,7590,8857,106,57,602
401,7546,8675,85,60,619
402,7618,8562,91,70,604
403,7603,8752,83,62,658
404,7569,8788,94,46,683
405,7599,8808,97,53,637
406,7566,8764,80,58,666
407,7619,8721,88,54,622
408,7577,8683,91,44,652
409,7686,8681,89,55,670
410,7642,8563,94,42,614
411,7403,8788,92,59,684
412,7538,8702,94,60,639
413,7394,8692,95,58,599
414,7649,8675,92,62,627
415,7571,8808,94,63,621
416,7643,8843,74,52,692
417,7455,8711,82,46,599
418,7514,8729,79,60,604
419,7595,8829,83,73,707
420,7423,8690,77,54,648
421,7570,8715,83,61,635
422,7608,8767,85,52,648
423,7488,8872,96,69,574
424,7518,8540,84,63,627
425,7621,8788,83,60,663
426,7748,8860,87,61,633
427,7680,8834,81,54,613
428,7603,8792,79,70,628
429,7427,8738,79,47,650
430,7514,8683,81,71,621
431,7366,8713,97,65,617
432,7549,8646,85,58,618
433,7502,8770,60,56,639
434,7581,8749,88,51,628
435,7486,8796,80,49,609
436,7659,8694,84,59,623
437,7666,8610,72,56,614
438,7386,8732,85,58,635
439,7459,8667,86,53,624
440,7473,8897,95,62,626
441,7715,8589,81,58,609
442,7600,8834,88,45,632
443,7553,8790,72,51,642
444,7433,8735,87,60,604
445,7531,8663,92,48,594
446,7691,8736,81,43,616
447,7681,8778,65,49,611
448,7577,8876,84,53,601
449,7687,8663,90,73,572
450,7623,8752,85,42,667
451,7456,8766,89,61,605
452,7498,8755,83,58,634
453,7533,8785,82,56,648
454,7548,8672,84,37,668
455,7543,8615,79,59,626
456,7553,8598,78,60,639
457,7737,8862,63,57,610
458,7712,8728,103,52,663
459,7536,8747,83,52,626
460,7399,8800,84,57,623
461,7599,8856,84,58,666
462,7454,8546,87,53,589
463,7569,8782,74,72,637
464,7514,8720,97,60,621
465,7670,8649,80,49,625
466,7643,8710,90,43,640
467,7625,8730,84,56,651
468,7586,8795,88,65,646
469,7525,8750,86,68,613
470,7566,8619,90,59,630
471,7716,8842,84,75,674
472,7658,8757,77,67,620
473,7585,8789,89,48,621
474,7550,8636,84,44,638
475,7630,8844,89,62,616
476,7641,8734,98,65,622
477,7697,8812,98,54,686
478,7605,8682,93,48,620
479,7639,8741,95,58,653
480,7482,8607,100,66,574
481,7673,8739,83,42,612
482,7544,8729,86,61,659
483,7628,9035,92,54,616
484,7505,8665,81,56,615
485,7536,8674,95,71,675
486,7591,8616,84,56,651
487,7696,8830,81,57,639
488,7573,8815,113,54,656
489,7648,8710,78,55,664
490,7563,8735,82,50,639
491,7453,8867,88,51,641
