Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7568.012,5.510779265413569,136.64,0.6999682532483565,86.048,0.5871281831963984,56.913,0.47307242735285415,5.277,0.14446436915016087
Sample,ch1,ch2,ch3,ch4,coinc12
345,7558,135,66,48,4
346,7586,112,83,42,6
347,7611,122,81,57,4
348,7487,122,83,61,4
349,7604,145,90,66,4
350,7482,128,95,56,3
351,7463,115,81,63,4
352,7548,135,87,50,5
353,7611,135,91,59,4
354,7574,127,98,59,6
355,7646,132,72,57,9
356,7595,144,72,52,4
357,7613,127,101,50,4
358,7499,125,95,51,3
359,7605,129,75,57,3
360,7588,148,88,49,6
361,7503,147,81,55,3
362,7617,138,93,60,4
363,7485,130,101,60,8
364,7517,138,86,55,5
365,7436,144,82,55,10
366,7496,130,81,65,8
367,7561,148,86,54,5
368,7590,138,100,54,3
369,7452,137,80,54,5
370,7639,137,85,56,2
371,7514,140,97,51,8
372,7669,116,89,59,6
373,7669,130,97,57,6
374,7489,141,90,51,4
375,7592,139,85,57,4
376,7506,154,96,56,5
377,7560,131,93,63,9
378,7633,136,67,44,7
379,7429,135,77,46,8
380,7478,138,86,56,7
381,7454,143,95,48,5
382,7518,128,84,58,4
383,7623,146,79,64,2
384,7710,139,83,56,7
385,7517,135,81,67,4
386,7584,157,81,68,4
387,7542,145,82,56,8
388,7428,124,74,47,4
389,7542,140,83,73,11
390,7494,119,94,72,4
391,7560,127,84,52,6
392,7629,130,77,57,3
393,7504,125,89,59,5
394,7709,134,88,54,6
395,7706,124,89,59,8
396,7631,142,79,44,2
397,7519,144,82,54,6
398,7508,134,99,68,4
399,7688,127,97,58,3
400,7625,155,70,52,10
401,7549,143,82,60,5
402,7519,130,83,62,3
403,7617,142,94,53,6
404,7540,137,89,60,2
405,7577,127,94,69,6
406,7409,131,70,54,4
407,7494,125,80,67,3
408,7589,127,85,59,7
409,7399,124,84,53,7
410,7525,142,80,51,10
411,7597,129,89,57,2
412,7497,145,91,50,6
413,7578,142,89,60,3
414,7598,130,89,51,3
415,7550,131,87,55,6
416,7514,125,87,49,6
417,7569,121,84,56,1
418,7559,129,91,61,5
